Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
112,Anosike Ementa,dk DEN,FW,Viborg,22,2002,31,8,1110,12.3,3,1,4,3,0,0,2,0,0.24,0.08,0.32,0.24,0.32,Matches,27,10,37.0,2.19,0.81,0.11,0.30,,36,38.5,82,5,23,20,1,1.42,18,23,-5,-0.41,-1.02,0,27,22,2,2,6,4,,,0
321,Aral Şimşir,dk DEN,"MF,FW",Midtjylland,22,2002,23,15,1392,15.5,3,6,9,2,1,1,0,0,0.19,0.39,0.58,0.13,0.52,Matches,36,12,33.3,2.33,0.78,0.06,0.17,,61,48.3,76,6,8,31,0,2.00,31,23,+8,+0.52,-0.33,0,7,31,0,59,2,2,,,0
250,Araphat Mohammed,gh GHA,MF,Nordsjælland,18,2005,6,0,54,0.6,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2,2,100.0,3.33,3.33,0.00,0.00,,9,1.9,,0,6,9,13,1.00,1,2,-1,-1.67,-1.60,0,2,0,0,2,0,2,,,0
23,Aske Andresen,dk DEN,GK,Silkeborg,19,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,90,3.1,90,1,0,,26,0.00,1,2,-1,-1.00,-1.52,0,0,0,0,0,0,0,,,0
44,Asker Beck,dk DEN,MF,Viborg,21,2003,12,5,524,5.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,15,4,26.7,2.58,0.69,0.00,0.00,,44,18.2,82,1,7,17,1,1.67,8,10,-2,-0.34,-0.69,0,8,6,0,4,1,9,,,0
39,Atli Barkarson,is ISL,"DF,MF",SønderjyskE,23,2001,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4,0,0.0,1.00,0.00,0.00,,,90,12.5,90,4,0,,0,0.25,1,8,-7,-1.75,-1.39,0,6,2,1,32,3,3,,,0
302,Baptiste Rolland,fr FRA,DF,Lyngby,21,2003,7,5,327,3.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4,1,25.0,1.10,0.28,0.00,0.00,,47,11.4,55,0,2,27,13,1.00,5,3,+2,+0.55,+1.22,0,5,5,0,4,7,8,,,0
,Benicio Pená,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,5,,,,,,,,,,,,,,,,
266,Benjamin Nygren,se SWE,"FW,MF",Nordsjælland,23,2001,30,28,2551,28.3,15,2,17,15,0,1,1,0,0.53,0.07,0.60,0.53,0.60,Matches,82,40,48.8,2.89,1.41,0.18,0.38,,85,88.6,88,21,2,38,0,1.40,44,53,-9,-0.32,-1.96,0,30,25,0,31,10,24,,,0
,Benjamin Rasmussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,
