Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
122,Marco Friedl,at AUT,DF,Werder Bremen,27-069,1998.0,24.0,1769,251,1025,715,35,5,1769,8,6,75.0,2,25.0,1069,4836,2108,4,5,0,12,7,1101,1,Matches,13,0.54,9,2,0,2,0,0,0,0.0,0,0,0,0,0,0
152,Marco Grüll,at AUT,"FW,MF",Werder Bremen,26-322,1998.0,13.1,495,6,43,215,245,53,495,39,13,33.3,23,59.0,317,1617,623,24,19,9,43,39,361,93,Matches,41,3.13,29,0,3,4,5,0,5,0.38,2,0,0,1,2,0
225,Marco Komenda,hr CRO,DF,Holstein Kiel,28-179,1996.0,14.5,905,109,462,390,54,11,905,1,1,100.0,0,0.0,440,1831,1096,13,8,1,3,0,596,16,Matches,23,1.58,21,0,1,0,0,1,1,0.07,1,0,0,0,0,0
247,Marin Ljubicic,hr CRO,"FW,MF",Union Berlin,23-085,2002.0,3.1,90,6,15,36,39,11,90,3,1,33.3,1,33.3,52,202,71,1,0,0,6,1,59,19,Matches,9,2.88,5,1,0,0,3,0,3,0.96,2,0,0,0,1,0
144,Mario Götze,de GER,"MF,FW",Eint Frankfurt,32-355,1992.0,17.1,986,12,158,493,347,43,986,23,9,39.1,12,52.2,617,2456,1214,29,23,6,26,27,706,96,Matches,58,3.39,54,3,0,0,1,0,3,0.18,3,0,0,0,0,0
167,Mario Hermoso,es ESP,DF,Leverkusen,29-340,1995.0,3.3,288,28,84,165,39,6,288,5,3,60.0,2,40.0,147,495,265,2,8,0,3,1,183,3,Matches,5,1.54,2,0,0,3,0,0,0,0.0,0,0,0,0,0,0
65,Marius Bülter,de GER,"FW,DF",Hoffenheim,32-056,1993.0,19.2,774,25,108,297,379,83,774,47,24,51.1,22,46.8,511,2924,1435,57,24,23,39,21,576,155,Matches,48,2.5,34,0,3,3,7,1,7,0.36,4,0,2,0,1,0
286,Marius Müller,de GER,GK,Wolfsburg,31-316,1993.0,5.3,231,171,228,3,0,0,231,0,0,,0,,147,695,400,0,0,0,0,0,122,0,Matches,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
481,Marius Wolf,de GER,DF,Augsburg,29-362,1995.0,23.8,1427,54,302,599,544,46,1427,43,19,44.2,22,51.2,627,2489,1362,36,19,8,25,16,769,95,Matches,80,3.36,53,17,6,1,3,0,6,0.25,3,2,1,0,0,0
189,Marko Ivezić,rs SRB,DF,Holstein Kiel,23-173,2001.0,18.4,1176,175,683,468,34,14,1176,7,4,57.1,2,28.6,596,2644,1282,3,7,0,17,7,746,9,Matches,12,0.65,10,0,0,0,1,1,1,0.05,1,0,0,0,0,0
68,Marnon Busch,de GER,"DF,MF",Heidenheim,30-167,1994.0,15.5,1030,79,378,468,190,9,1030,8,3,37.5,4,50.0,495,2288,1217,22,20,1,13,1,553,43,Matches,27,1.74,21,4,0,2,0,0,1,0.06,0,0,0,1,0,0
428,Martin Terrier,fr FRA,"MF,FW",Leverkusen,28-081,1997.0,6.5,250,3,13,107,131,35,250,4,2,50.0,2,50.0,129,578,276,11,4,4,11,6,205,35,Matches,21,3.24,16,1,0,2,2,0,3,0.46,3,0,0,0,0,0
108,Marvin Ducksch,de GER,FW,Werder Bremen,31-078,1994.0,26.9,1105,31,83,457,575,116,1103,19,7,36.8,11,57.9,538,1826,816,26,20,12,31,11,673,166,Matches,103,3.83,58,37,1,6,0,1,12,0.45,9,2,0,1,0,0
123,Marvin Friedrich,de GER,DF,Gladbach,29-162,1995.0,11.0,822,90,426,370,27,17,822,2,2,100.0,0,0.0,502,2464,1284,11,3,0,5,3,583,3,Matches,9,0.82,8,0,0,1,0,0,1,0.09,0,0,0,1,0,0
